Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,3,6,53,1,Some Random Commen with Id 0
1,3,6,126,5,Some Random Commen with Id 1
2,3,6,94,6,Some Random Commen with Id 2
3,3,6,94,5,Some Random Commen with Id 3
4,3,6,85,7,Some Random Commen with Id 4
5,3,6,4,6,Some Random Commen with Id 5
6,3,6,36,3,Some Random Commen with Id 6
7,4,6,175,3,Some Random Commen with Id 7
8,4,6,22,6,Some Random Commen with Id 8
9,4,6,22,0,Some Random Commen with Id 9
10,4,6,4,5,Some Random Commen with Id 10
11,4,6,63,6,Some Random Commen with Id 11
12,5,1,104,7,Some Random Commen with Id 12
13,5,1,89,5,Some Random Commen with Id 13
14,5,1,130,4,Some Random Commen with Id 14
15,5,1,98,4,Some Random Commen with Id 15
16,5,1,17,1,Some Random Commen with Id 16
17,5,1,132,9,Some Random Commen with Id 17
18,5,1,72,0,Some Random Commen with Id 18
19,5,1,110,3,Some Random Commen with Id 19
20,5,1,41,1,Some Random Commen with Id 20
21,6,4,90,4,Some Random Commen with Id 21
22,6,4,194,9,Some Random Commen with Id 22
23,7,9,111,7,Some Random Commen with Id 23
24,7,9,172,0,Some Random Commen with Id 24
25,7,9,85,6,Some Random Commen with Id 25
26,7,9,20,8,Some Random Commen with Id 26
27,7,9,12,9,Some Random Commen with Id 27
28,8,0,71,9,Some Random Commen with Id 28
29,8,0,178,5,Some Random Commen with Id 29
30,9,4,145,0,Some Random Commen with Id 30
31,9,4,177,5,Some Random Commen with Id 31
32,9,4,5,0,Some Random Commen with Id 32
33,9,4,168,4,Some Random Commen with Id 33
34,10,0,41,6,Some Random Commen with Id 34
35,10,0,32,6,Some Random Commen with Id 35
36,10,0,9,0,Some Random Commen with Id 36
37,10,0,49,8,Some Random Commen with Id 37
38,10,0,27,9,Some Random Commen with Id 38
39,11,0,86,7,Some Random Commen with Id 39
40,12,9,192,9,Some Random Commen with Id 40
41,12,9,131,1,Some Random Commen with Id 41
42,12,9,105,8,Some Random Commen with Id 42
43,12,9,59,3,Some Random Commen with Id 43
44,12,9,170,2,Some Random Commen with Id 44
45,12,9,91,0,Some Random Commen with Id 45
46,13,8,145,5,Some Random Commen with Id 46
47,13,8,101,7,Some Random Commen with Id 47
48,13,8,144,5,Some Random Commen with Id 48
49,13,8,22,6,Some Random Commen with Id 49
50,13,8,115,2,Some Random Commen with Id 50
51,14,8,41,4,Some Random Commen with Id 51
52,14,8,4,9,Some Random Commen with Id 52
53,14,8,190,0,Some Random Commen with Id 53
54,16,1,32,1,Some Random Commen with Id 54
55,16,1,84,0,Some Random Commen with Id 55
56,16,1,20,0,Some Random Commen with Id 56
57,17,7,142,9,Some Random Commen with Id 57
58,17,7,157,5,Some Random Commen with Id 58
59,17,7,188,4,Some Random Commen with Id 59
60,17,7,56,6,Some Random Commen with Id 60
61,17,7,177,8,Some Random Commen with Id 61
62,18,0,96,9,Some Random Commen with Id 62
63,18,0,58,9,Some Random Commen with Id 63
64,18,0,10,5,Some Random Commen with Id 64
65,18,0,151,9,Some Random Commen with Id 65
66,18,0,135,2,Some Random Commen with Id 66
67,18,0,92,3,Some Random Commen with Id 67
68,18,0,153,0,Some Random Commen with Id 68
69,19,5,68,1,Some Random Commen with Id 69
70,19,5,38,4,Some Random Commen with Id 70
71,19,5,17,1,Some Random Commen with Id 71
72,19,5,147,2,Some Random Commen with Id 72
73,19,5,106,3,Some Random Commen with Id 73
74,19,5,171,7,Some Random Commen with Id 74
75,20,6,121,3,Some Random Commen with Id 75
76,20,6,72,1,Some Random Commen with Id 76
77,20,6,136,9,Some Random Commen with Id 77
78,20,6,52,4,Some Random Commen with Id 78
79,20,6,181,8,Some Random Commen with Id 79
80,20,6,149,6,Some Random Commen with Id 80
